  Step                  Energy    RxCoord     X1        Y1        Z1
  12                    1.23450  -0.72168  -0.00000  -1.26470   0.68916
  13                    1.23328  -0.72158  -0.00000  -1.26535   0.69017
  14                    1.23191  -0.72150   0.00000  -1.26581   0.69111
  15                    1.23039  -0.72140   0.00000  -1.26606   0.69197
  16                    1.22877  -0.72122  -0.00000  -1.26610   0.69274
  17                    1.22714  -0.72064   0.00000  -1.26592   0.69336
                          Z13       X14       Y14       Z14       X15
   1                    0.00000  -1.22714  -0.72064   0.00000   2.48609
   2                    0.00000  -1.22877  -0.72122   0.00000   2.48588
   3                    0.00000  -1.23039  -0.72140   0.00000   2.48594
   4                    0.00000  -1.23191  -0.72150  -0.00000   2.48610
   5                    0.00000  -1.23328  -0.72158  -0.00000   2.48635
   6                   -0.00000  -1.23450  -0.72168  -0.00000   2.48670
   7                   -0.00000  -1.23558  -0.72180  -0.00000   2.48711
   8                   -0.00000  -1.23657  -0.72196  -0.00000   2.48759
   9                   -0.00000  -1.23747  -0.72212  -0.00000   2.48807
  10                    0.00000  -1.23840  -0.72227   0.00000   2.48861
  11                   -0.00000  -1.23932  -0.72240   0.00000   2.48913
  12                   -0.00000  -1.24032  -0.72254   0.00000   2.48970
  13                    0.00000  -1.24143  -0.72266   0.00000   2.49029
  14                   -0.00000  -1.24268  -0.72275   0.00000   2.49093
  15                   -0.00000  -1.24406  -0.72283  -0.00000   2.49166
  16                   -0.00000  -1.24556  -0.72292  -0.00000   2.49261
  17                   -0.00000  -1.24709  -0.72301   0.00000   2.49446
                          Y15       Z15       X16       Y16       Z16
   1                    2.45207  -0.00000   4.62125   1.21394   0.00000
   2                    2.45234  -0.00000   4.62304   1.21485  -0.00000
   3                    2.45239   0.00000   4.62504   1.21567   0.00000
   4                    2.45237   0.00000   4.62705   1.21651  -0.00000
   5                    2.45234  -0.00000   4.62904   1.21732  -0.00000
   6                    2.45232  -0.00000   4.63100   1.21811  -0.00000
   7                    2.45231   0.00000   4.63291   1.21887  -0.00000
   8                    2.45231   0.00000   4.63484   1.21963   0.00000
   9                    2.45233   0.00000   4.63675   1.22037   0.00000
  10                    2.45230  -0.00000   4.63859   1.22110   0.00000
  11                    2.45224  -0.00000   4.64046   1.22184   0.00000
  12                    2.45215   0.00000   4.64245   1.22263   0.00000
  13                    2.45200  -0.00000   4.64455   1.22344   0.00000
  14                    2.45179   0.00000   4.64676   1.22425   0.00000
  15                    2.45154   0.00000   4.64912   1.22501  -0.00000
  16                    2.45130  -0.00000   4.65165   1.22559  -0.00000
  17                    2.45116  -0.00000   4.65457   1.22544   0.00000
                          X17       Y17       Z17       X18       Y18
   1                    4.61247  -1.26452   0.00000   2.47454  -2.49039
   2                    4.61130  -1.26433   0.00000   2.47390  -2.48894
   3                    4.61039  -1.26434  -0.00000   2.47315  -2.48756
   4                    4.60975  -1.26433  -0.00000   2.47233  -2.48627
   5                    4.60935  -1.26427   0.00000   2.47144  -2.48509
   6                    4.60914  -1.26416   0.00000   2.47050  -2.48402
   7                    4.60907  -1.26401   0.00000   2.46953  -2.48304
   8                    4.60914  -1.26384   0.00000   2.46856  -2.48217
   9                    4.60926  -1.26367   0.00000   2.46755  -2.48138
  10                    4.60934  -1.26351  -0.00000   2.46658  -2.48049
  11                    4.60937  -1.26338  -0.00000   2.46556  -2.47960
  12                    4.60937  -1.26330   0.00000   2.46461  -2.47870
  13                    4.60926  -1.26330  -0.00000   2.46371  -2.47771
  14                    4.60899  -1.26341  -0.00000   2.46289  -2.47662
  15                    4.60852  -1.26369   0.00000   2.46211  -2.47541
  16                    4.60781  -1.26421  -0.00000   2.46130  -2.47410
  17                    4.60671  -1.26542  -0.00000   2.45993  -2.47274
                          Z18       X19       Y19       Z19       X20
   1                    0.00000   0.02249  -2.50174  -0.00000  -2.45993
   2                   -0.00000   0.02005  -2.50194   0.00000  -2.46130
   3                   -0.00000   0.01714  -2.50188  -0.00000  -2.46211
   4                   -0.00000   0.01410  -2.50180  -0.00000  -2.46289
   5                   -0.00000   0.01110  -2.50172   0.00000  -2.46371
   6                   -0.00000   0.00819  -2.50166  -0.00000  -2.46460
   7                   -0.00000   0.00539  -2.50161  -0.00000  -2.46555
   8                   -0.00000   0.00267  -2.50160   0.00000  -2.46657
   9                    0.00000   0.00000  -2.50158   0.00000  -2.46755
  10                   -0.00000  -0.00267  -2.50161  -0.00000  -2.46857
  11                   -0.00000  -0.00539  -2.50161  -0.00000  -2.46953
  12                    0.00000  -0.00819  -2.50166   0.00000  -2.47050
  13                    0.00000  -0.01110  -2.50172  -0.00000  -2.47145
  14                    0.00000  -0.01410  -2.50180   0.00000  -2.47233
  15                    0.00000  -0.01714  -2.50188   0.00000  -2.47315
  16                    0.00000  -0.02005  -2.50194  -0.00000  -2.47390
  17                   -0.00000  -0.02248  -2.50174   0.00000  -2.47454
                          Y20       Z20       X21       Y21       Z21
   1                   -2.47274   0.00000  -4.60671  -1.26542  -0.00000
   2                   -2.47410  -0.00000  -4.60781  -1.26421  -0.00000
   3                   -2.47541  -0.00000  -4.60852  -1.26369  -0.00000
   4                   -2.47662   0.00000  -4.60899  -1.26341  -0.00000
   5                   -2.47771   0.00000  -4.60925  -1.26330  -0.00000
   6                   -2.47870   0.00000  -4.60936  -1.26330  -0.00000
   7                   -2.47960  -0.00000  -4.60936  -1.26338  -0.00000
   8                   -2.48048   0.00000  -4.60933  -1.26351  -0.00000
   9                   -2.48138  -0.00000  -4.60926  -1.26367  -0.00000
  10                   -2.48217  -0.00000  -4.60915  -1.26384  -0.00000
  11                   -2.48304  -0.00000  -4.60908  -1.26401  -0.00000
  12                   -2.48402  -0.00000  -4.60914  -1.26416  -0.00000
  13                   -2.48509  -0.00000  -4.60935  -1.26427  -0.00000
  14                   -2.48627  -0.00000  -4.60976  -1.26433  -0.00000
  15                   -2.48756   0.00000  -4.61039  -1.26434   0.00000
  16                   -2.48894   0.00000  -4.61130  -1.26433   0.00000
  17                   -2.49039  -0.00000  -4.61247  -1.26452  -0.00000
                          X22       Y22       Z22       X23       Y23
   1                   -4.65458   1.22544  -0.00000  -2.49446   2.45116
   2                   -4.65165   1.22559  -0.00000  -2.49261   2.45130
   3                   -4.64912   1.22501  -0.00000  -2.49166   2.45154
   4                   -4.64676   1.22425  -0.00000  -2.49093   2.45179
   5                   -4.64454   1.22344   0.00000  -2.49029   2.45200
   6                   -4.64245   1.22263   0.00000  -2.48969   2.45215
   7                   -4.64045   1.22184   0.00000  -2.48913   2.45224
   8                   -4.63858   1.22110  -0.00000  -2.48860   2.45230
   9                   -4.63675   1.22037  -0.00000  -2.48807   2.45233
  10                   -4.63486   1.21963   0.00000  -2.48760   2.45232
  11                   -4.63292   1.21887   0.00000  -2.48712   2.45231
  12                   -4.63101   1.21811   0.00000  -2.48670   2.45232
  13                   -4.62905   1.21732  -0.00000  -2.48636   2.45234
  14                   -4.62705   1.21651   0.00000  -2.48610   2.45237
  15                   -4.62504   1.21567   0.00000  -2.48594   2.45239
  16                   -4.62304   1.21484   0.00000  -2.48588   2.45234
  17                   -4.62126   1.21394   0.00000  -2.48609   2.45207
                          Z23       X24       Y24       Z24       X25
   1                    0.00000  -0.03198   2.15548  -0.86067  -0.03197
   2                    0.00000  -0.02919   2.15494  -0.86047  -0.02919
   3                   -0.00000  -0.02590   2.15468  -0.86025  -0.02590
   4                    0.00000  -0.02220   2.15453  -0.86003  -0.02220
   5                    0.00000  -0.01817   2.15446  -0.85983  -0.01817
   6                    0.00000  -0.01386   2.15445  -0.85966  -0.01386
   7                   -0.00000  -0.00935   2.15446  -0.85952  -0.00935
   8                   -0.00000  -0.00470   2.15449  -0.85947  -0.00470
   9                   -0.00000  -0.00000   2.15447  -0.85959  -0.00000
  10                    0.00000   0.00469   2.15450  -0.85947   0.00469
  11                    0.00000   0.00934   2.15446  -0.85952   0.00934
  12                   -0.00000   0.01386   2.15445  -0.85966   0.01386
  13                    0.00000   0.01817   2.15446  -0.85983   0.01817
  14                    0.00000   0.02220   2.15453  -0.86003   0.02220
  15                   -0.00000   0.02590   2.15468  -0.86025   0.02590
  16                   -0.00000   0.02919   2.15494  -0.86047   0.02919
  17                   -0.00000   0.03197   2.15548  -0.86067   0.03197
                          Y25       Z25
   1                    2.15548   0.86067
   2                    2.15494   0.86047
   3                    2.15468   0.86025
   4                    2.15453   0.86003
   5                    2.15446   0.85983
   6                    2.15445   0.85966
   7                    2.15446   0.85952
   8                    2.15449   0.85947
   9                    2.15447   0.85959
  10                    2.15450   0.85947
  11                    2.15446   0.85952
  12                    2.15445   0.85966
  13                    2.15446   0.85983
  14                    2.15453   0.86003
  15                    2.15468   0.86025
  16                    2.15494   0.86047
  17                    2.15548   0.86067

